"","KENYA_30_SAMPLE_POOL_20M","KENYA_30_SAMPLE_POOL_50M","KENYA_30_SAMPLE_POOL","KENYA_POP_POOL_20M","KENYA_POP_POOL_50M","UK_30_SAMPLE_POOL_20M","UK_30_SAMPLE_POOL_50M","UK_30_SAMPLE_POOL","UK_POP_POOL_20M","UK_POP_POOL_50M"
"ARO:3003378",8.87471264367816,15.9977011494253,71.4434574712644,6.60462068965517,15.1586344827586,35.9882528967605,91.0313333333333,317.25064137931,47.3035862068965,115.324404597701
"ARO:3003380",3.22394654122612,7.75346219931271,24.768881443299,2.70941876362561,4.07301890034364,3.03342201529764,7.13282615904021,19.6494175257732,3.23023195876289,8.80755154639175
"ARO:3003381",31.6052731182796,94.3752451612903,350.28135483871,34.6258731182796,73.9979978494624,45.3796774193548,103.272232258065,380.240709677419,72.7212752688172,180.198150537634
"ARO:3003385",0,0,0,0,0,1.00069847410273,0.999840025595905,2.05751088133271,0,0
"ARO:3003386",31.5694110718492,80.9150471142521,291.510632508834,25.4935689045936,60.4939929328622,60.769074204947,157.846110718492,579.527123674912,93.4410106007067,250.571103651355
"ARO:3003390",30.8149641873278,73.5942314049587,282.692399449036,21.6263360881543,59.450694214876,76.6492424242424,184.936595041322,678.501818181818,84.9717906336088,215.765685950413
"ARO:3003438",0.695719930984583,1.37680571933962,3.00758435109212,2.34630503144654,4.60261006289308,0.998731341269198,2.7945938712699,7.84159748427673,2.54677672955975,8.08296383647799
"ARO:3003479",27.7224880382775,71.2597368421053,253.217543859649,22.0709090909091,60.5910893141946,50.4490940988836,103.846098883573,380.785765550239,32.2712280701754,81.9523094098884
"ARO:3003480",0,0.995844010994118,2.98753203298235,0.995844010994118,1.97841010184165,1.96513218169506,1.99168802198824,15.8763825634353,2.88874430709174,8.42643909772537
"ARO:3003493",3.19655314802338,6.2307765481815,21.4285239361702,4.55579480067637,5.64796905222437,0.998030435512219,1.00079871435857,5.11398804290487,0,0.999571612166214
"ARO:3003495",0.997028854015035,0,0.997028854015035,0,0,0,0,0,0,0
"ARO:3003497",0,0,2.46279000693046,0,0,0,0,0,0,0
"ARO:3003499",0,0,0,0,0.993649057873486,0,0,0,0,0.653154936267912
"ARO:3003511",28.9861759259259,64.5000740740741,242.504444444444,21.552537037037,56.3763641975309,27.7963148148148,60.97825,227.364027777778,50.7885185185185,118.794583333333
"ARO:3003512",11.2155247320825,25.4104430619114,93.3573149761296,10.947991599175,23.9964779531439,38.6087499597721,96.3402556635528,312.665389296519,32.0185388531207,87.4364736545211
"ARO:3003548",15.5620494186047,39.9371027131783,161.499878875969,19.5019021317829,42.6938139534884,41.9026695736434,97.3989728682171,337.189817829457,68.4332093023256,162.546175387597
"ARO:3003549",20.2870964912281,53.8141169590643,189.780453216374,21.5119074074074,46.8005609161793,25.6701598440546,66.2675730994152,233.349862573099,55.5861145224172,137.970682261209
"ARO:3003550",17.6285105657805,43.8978895705521,158.853425357873,18.8032794819359,45.7389304703476,23.7069270620314,57.4973946830266,210.740654396728,63.8732106339468,148.170785276074
"ARO:3003551",0,1.00107185471313,1.00107185471313,1.00045658421293,0.498937047160397,3.31390134529148,6.01669985758437,25.1047519944502,3.93292576883809,7.6333778608959
"ARO:3003552",0,0,0,0,0,0.999674524573395,2.74143925233645,6.44861526479751,0,0.88059331634098
"ARO:3003558",0,0,0,0,0,0,0,0,0,0.499782703172534
"ARO:3003559",3.71290569895221,7.95682945736434,30.0321151716501,3.79999907906885,10.7126544850498,6.43357696566999,15.0221262458472,56.5870764119601,1.61469713914299,4.51620556001069
"ARO:3003576",35.8277889294404,85.0966575425791,308.011100364964,27.1325699513382,70.9933856447689,56.0286131386861,147.869413625304,507.811828467153,71.1384732360097,178.618777372263
"ARO:3003577",8.77571192283932,21.3105463952974,52.3260948244662,5.02142844901457,15.7343479005998,57.1513590402742,136.48294772922,486.963419023136,43.5112682090831,109.831731790917
"ARO:3003578",24.8302683178535,76.2715789473684,280.430055727554,19.2383900928793,49.5551424148607,38.7368173374613,94.2211764705882,348.585175438596,51.0272445820433,134.262208462332
"ARO:3003582",4.34391187815845,9.09221385001794,35.394559320235,0.804181745074387,2.31719876416066,1.001001001001,0.997892302240128,2.61356224463021,0,0.998766623766624
"ARO:3003583",4.37177854587351,8.95033122214618,33.7537977684798,2.14233460021729,2.60131500298864,1.21648845498218,1.90956607880708,4.96410320781032,0,0
"ARO:3003585",3.29017857142857,7.609375,23.6919285714286,1.68742782909931,4.38162589194699,1.33910512020342,5.32968666569584,17.1986383928571,3.13752538930264,8.71726190476191
"ARO:3003679",4.85985399461962,9.16280421763507,42.3367881944444,1.46400043177893,3.06435784367264,1.13837110136452,1.55952137799564,5.01302083333333,0,0
"ARO:3003680",4.0062399500804,7.73294677871148,34.2259943977591,1.29702551360305,2.40803503721931,1.00063920430777,2.05330792110659,4.48926330532213,0,0.499424576031963
"ARO:3003681",4.57652578630535,8.90862656690735,32.8351632102325,1.29373006068003,2.49109451724439,0.820668743008795,1.93450131233596,4.96967677801885,1.00425708981499,0.978510498687664
"ARO:3003682",3.78680611930248,6.76430230286468,17.2977572545066,0.995381430164039,1.60253824850098,0.837879450616744,1.09675571368269,3.27519563462821,0,0.802074090505767
"ARO:3003684",4.59687429474159,6.86347406614667,24.4929345722029,1.06417675295226,2.18823507888484,1.57756705375753,1.30994074231779,3.65873996765235,1.00737836586893,1.07734045999352
"ARO:3003685",4.36292596292596,9.31283175333808,39.8214104751564,1.30888175494917,1.83605480594045,1.64906149459464,1.51589942962798,4.2878680286575,0,0.998302885095338
"ARO:3003686",4.95598103798559,6.80809645134969,21.2441359665263,1.03795966785291,2.20621706612273,1.00363521416153,2.99793036279523,2.70212430329162,0,0.99657179303197
