	CARD_KENYA_30_SAMPLE_POOL_20M	CARD_KENYA_30_SAMPLE_POOL_50M	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL_20M	CARD_KENYA_POP_POOL_50M	CARD_UK_30_SAMPLE_POOL_20M	CARD_UK_30_SAMPLE_POOL_50M	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL_20M	CARD_UK_POP_POOL_50M
3003929_AE004969.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003930_AE004969.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003928_AE004969.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000318_AE005174.2	135.952	133.306	133.677	123.818	125.029	130.333	128.807	127.677	130.021	130.006
3000025_AE005672.3	0.0	150.0	149.75	149.5	149.5	0.0	0.0	0.0	0.0	0.0
3000024_AE005672.3	0.0	148.5	148.5	150.0	0.0	0.0	0.0	0.0	0.0	0.0
3003311_AE005672	0.0	149.5	149.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003940_AE005674.2	148.567	148.771	148.574	147.93	148.223	148.024	148.35	148.232	147.971	148.098
3002571_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000504_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000826_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003939_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003317_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000791_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000790_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000789_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003307_AE006468.2	0.0	0.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0	0.0
3003383_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003512_AE006468	131.2	128.589	129.786	132.234	131.862	136.135	136.221	136.026	133.389	133.035
3000822_AE007317.1	0.0	149.5	149.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000614_AE007317.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003774_AE009948.1	0.0	0.0	0.0	0.0	0.0	148.621	147.339	147.283	148.857	148.808
3003387_AE009949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003369_AE014075.1	142.606	144.395	144.191	144.004	143.775	144.663	144.792	144.966	145.219	145.288
3003772_AE014292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002865_AE015929.1	0.0	0.0	0.0	0.0	0.0	149.0	150.0	137.5	113.0	115.5
3003797_AE016830.1	149.0	149.0	146.7	150.0	144.25	147.125	147.461	146.931	145.041	146.745
3003792_AE016830.1	0.0	0.0	0.0	149.667	147.5	148.318	141.621	144.27	145.065	139.815
