	CARD_KENYA_30_SAMPLE_POOL_20M	CARD_KENYA_30_SAMPLE_POOL_50M	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL_20M	CARD_KENYA_POP_POOL_50M	CARD_UK_30_SAMPLE_POOL_20M	CARD_UK_30_SAMPLE_POOL_50M	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL_20M	CARD_UK_POP_POOL_50M
3003745_AB571865.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002069_AB587082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	20.0
3001484_AB634250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000854_AB636283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003039_AB639410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004628_AB669090.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002100_AB699171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001057_AB700703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001985_AB703103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003677_AB709942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002225_AB715422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001204_AB733453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002774_AB734053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002773_AB734055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001827_AB737978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002358_AB744718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002233_AB753456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002231_AB753457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002232_AB753458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004106_AB758278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002993_AB765395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002234_AB777500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002235_AB777501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001682_AB781687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001557_AB871653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002071_AB872957.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
