lineage	KENYA_30_SAMPLE_POOL_20M.bracken	KENYA_30_SAMPLE_POOL_50M.bracken	KENYA_30_SAMPLE_POOL.bracken	KENYA_POP_POOL_20M.bracken	KENYA_POP_POOL_50M.bracken	UK_30_SAMPLE_POOL_20M.bracken	UK_30_SAMPLE_POOL_50M.bracken	UK_30_SAMPLE_POOL.bracken	UK_POP_POOL_20M.bracken	UK_POP_POOL_50M.bracken
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas australica	0	0	5	1	6	1	0	13	0	0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Moritellaceae;g__Moritella;s__Moritella sp. 36	0	0	16	0	0	1	0	4	0	0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp. WY4	0	0	7	10	12	0	0	0	74	207
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp. Colony158	0	0	6	0	2	0	0	1	3	5
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp. TR11	0	0	16	7	29	9	25	79	5	13
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp. FDAARGOS_724	0	0	7	2	14	0	1	2	0	14
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp. Ac-14	0	0	61	0	0	0	0	0	23	0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp. AHP123	0	0	2	5	9	1	5	14	2	12
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp. YH12068_T	0	0	6	2	0	0	2	23	10	27
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp. SWBY1	0	0	1	4	10	1	2	13	1	5
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sp. PraFG1	0	0	16	5	4	6	1	18	233	572
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sp. DAB_AL32B	0	0	4	1	1	0	0	0	25	49
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sp. P11G5	0	0	8	0	0	6	11	43	1532	3797
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas;s__Halomonas sp. M1	0	0	3	5	16	5	23	54	7	25
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas;s__Halomonas sp. A3H3	0	0	14	0	22	12	0	12	17	19
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Candidatus Carsonella;s__Candidatus Carsonella ruddii (Diaphorina cf. continua)	0	0	3	0	0	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Cycloclasticus;s__Cycloclasticus sp. P1	0	0	25	0	7	0	8	27	7	10
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Rickettsiella;s__Rickettsiella endosymbiont of Dermanyssus gallinae	0	0	10	4	6	1	6	32	8	8
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__Candidatus Competibacteraceae;g__Competibacter;s__Candidatus Competibacter denitrificans	0	0	1	1	0	0	0	1	0	0
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;s__Comamonas sp. 7D-2	0	0	36	0	0	0	0	0	0	93
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas;s__Polaromonas sp. E3S	0	0	55	0	0	0	22	48	0	24
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas;s__Polaromonas sp. E5S	0	0	75	0	0	0	50	214	35	58
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas;s__Polaromonas sp. H1N	0	0	3	0	26	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Verminephrobacter;s__Verminephrobacter aporrectodeae	0	0	1	0	0	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia sp. MSMB617WGS	0	0	6	0	0	0	0	2	5	7
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia sp. B21-007	0	0	35	0	0	0	13	30	0	16
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia sp. LAS2	0	0	5	0	3	3	0	2	6	2
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia sp. EMB26	0	0	3	8	0	0	3	7	4	3
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus malaysiensis	0	0	13	0	12	22	29	121	0	24
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter sp. JS-Mosq-20-D10	0	0	5	4	6	4	8	37	5	7
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter sp. AP-Ainpum-60-G11	0	0	4	2	6	1	1	5	1	1
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia;s__Caballeronia sp. SBC1	0	0	15	0	0	0	16	40	0	0
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mycoavidus;s__Mycoavidus sp. HKI	0	0	9	4	7	0	0	8	2	5
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Alcaligenes;s__Alcaligenes sp. NLF5-7	0	0	13	0	0	5	6	11	4	16
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Paenalcaligenes;s__Paenalcaligenes suwonensis	0	0	1	0	0	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium sp. N324	0	0	16	0	0	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium sp. B230/85	0	0	4	7	0	3	13	52	6	36
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Pararhizobium;s__Pararhizobium polonicum	0	0	1	0	0	0	2	3	0	1
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium sp. CCBAU 05631	0	0	12	9	11	0	0	6	8	11
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. CW1	0	0	97	16	32	0	20	76	36	179
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. 131	0	0	26	36	70	19	65	143	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Tardiphaga;s__Tardiphaga sp. vice278	0	0	49	7	0	9	10	24	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium sp. NBIMC_P2-C4	0	0	4	1	0	4	4	15	0	2
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium sp. NZP2234	0	0	19	0	0	0	8	58	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium sp. WSM4906	0	0	9	0	3	0	14	47	13	22
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium sp. 131-2-5	0	0	13	8	8	0	0	0	0	9
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Nitratireductor;s__Nitratireductor rhodophyticola	0	0	1	1	1	1	1	5	1	5
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Aminobacter;s__Aminobacter niigataensis	0	0	2	0	0	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylobacterium;s__Methylobacterium sp. 391_Methyba4	0	0	10	0	24	0	0	25	8	12
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Bartonellaceae;g__Bartonella;s__Bartonella sp. Raccoon60	0	0	110	0	0	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella sp. JSBI001	0	0	15	2	1	0	0	9	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella sp. 09RB8910	0	0	2	3	6	0	0	0	1	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella ovis	0	0	6	0	1	0	0	0	2	7
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella canis	0	0	80	43	12	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp.	0	0	2	0	0	0	0	1	1	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp. LB126	0	0	5	0	7	0	9	9	0	4
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp. CFD-1	0	0	4	10	31	5	58	142	10	15
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium baderi	0	0	43	5	13	21	34	123	16	63
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Paracoccus;s__Paracoccus sp. (in: a-proteobacteria)	0	0	1	1	0	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Paracoccus;s__Paracoccus albicereus	0	0	1	2	1	0	1	3	0	1
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Sulfitobacter;s__Sulfitobacter sp. M368	0	0	10	4	11	5	5	35	3	9
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Sulfitobacter;s__Sulfitobacter pontiacus	0	0	15	4	7	8	32	54	23	55
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Wenxinia;s__Wenxinia marina	0	0	4	0	0	0	0	1	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas;s__Roseomonas sp. FDAARGOS_362	0	0	24	17	22	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter pomorum	0	0	12	0	0	0	0	0	0	21
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp. GW460-12-10-14-LB2	0	0	4	5	3	0	0	3	6	26
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia endosymbiont of Drosophila simulans	0	0	16	0	13	0	0	13	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia endosymbiont of Onchocerca volvulus	0	0	1	0	0	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia endosymbiont (group A) of Bibio marci	0	0	1	0	0	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia endosymbiont (group B) of Xestia c-nigrum	0	0	90	0	0	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia endosymbiont (group A) of Tiphia femorata	0	0	3	9	0	0	0	0	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia endosymbiont (group A) of Apoderus coryli	0	0	1	0	0	0	0	6	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia australis	0	0	10	1	7	3	8	27	1	11
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia tillamookensis	0	0	2	4	4	5	11	39	0	8
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia amblyommatis	0	0	2	0	4	1	4	7	0	0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia japonica	0	0	3	0	0	0	0	10	0	0
k__Bacteria;p__Pseudomonadota;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus sp. 'AMD consortium'	0	0	16	0	0	7	29	90	0	38
k__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides sp. ES-S-0107-01	0	0	6	3	4	1	1	7	2	3
k__Bacteria;p__Bacillota;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermoanaerobacter;s__Thermoanaerobacter pseudethanolicus	0	0	294	0	0	0	0	0	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp. 'group B'	0	0	25	99	171	279	865	2780	60	146
k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus sp. LG606	0	0	11	2	21	0	0	12	2	3
k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus sp. LG1267	0	0	7	0	0	4	8	13	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus petauri	0	0	4	6	12	7	10	50	0	6
k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp. ESL0681	0	0	6	12	12	3	5	37	0	6
k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc sp. C2	0	0	14	0	0	0	0	10	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc suionicum	0	0	8	0	0	0	0	0	125	255
k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus sp.	0	0	2	0	0	0	0	0	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium sp.	0	0	1	0	1	0	0	0	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. FDAARGOS_235	0	0	2	0	0	0	1	1	2	3
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. HBCD-sjtu	0	0	1	0	0	1	2	9	3	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. PAMC26543	0	0	3	0	7	0	0	1	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. JNUCC-22	0	0	5	2	0	0	4	9	2	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. Lzh-5	0	0	115	0	0	0	0	0	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. PAMC22265	0	0	647	0	0	0	0	0	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. BC1-43	0	0	4	0	0	0	0	0	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. SJ-10	0	0	12	0	0	0	0	0	0	8
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. PDNC022	0	0	1	0	6	0	0	1	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. LJBS06	0	0	2	26	110	0	3	6	4	5
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. 3a	0	0	2	2	5	0	0	0	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Lysinibacillus;s__Lysinibacillus sp. JK80	0	0	15	14	26	0	5	22	4	17
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus;s__Anoxybacillus ayderensis	0	0	13	5	29	8	14	46	9	11
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Geobacillus kaustophilus	0	0	19	13	15	0	7	26	0	5
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__;g__Exiguobacterium;s__Exiguobacterium sp. U13-1	0	0	18	0	14	0	0	30	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus sp. 37	0	0	17	8	0	0	9	24	0	0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus sp. MZ8	0	0	22	0	0	73	69	60	0	26
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus sp. T93	0	0	63	0	0	153	0	191	0	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium sp. L2-79-05	0	0	4	0	0	2	7	31	4	14
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium pallens	0	0	26	27	34	0	0	29	40	31
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp. PYR15	0	0	56	0	0	32	0	194	38	29
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium celatum	0	0	1	0	0	0	1	1	0	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus sp. p52	0	0	14	9	8	4	0	24	0	8
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus sp. C1	0	0	19	0	0	0	0	0	12	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus sp. YL-1	0	0	6	8	7	0	9	9	0	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus sp. 11-3	0	0	10	0	0	0	0	0	0	0
NA	0	0	26	7	5	0	13	52	5	20
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia sp. 1D	0	0	40	5	8	0	0	21	0	22
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia amicalis	0	0	13	0	17	5	16	48	28	38
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter sp. FX8	0	0	30	0	0	33	17	111	26	58
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter sp. J3.49	0	0	3	0	0	0	4	12	0	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter sp. FW306-07-I	0	0	8	0	17	0	9	18	13	20
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter sp. StoSoilB13	0	0	3	3	10	10	42	195	14	45
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter;s__Pseudarthrobacter sp. NamE5	0	0	1	1	5	0	0	7	1	3
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus sp. MG-2010-D12	0	0	8	0	0	0	5	19	1	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus sp. 28	0	0	2	0	2	0	0	0	0	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter;s__Paenarthrobacter sp. Y-19	0	0	2	3	2	3	8	26	6	10
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter;s__Paenarthrobacter nicotinovorans	0	0	12	0	10	12	49	149	10	26
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp. EF45047	0	0	35	14	14	0	0	19	0	34
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp. PAMC 28756	0	0	35	14	14	18	40	118	34	68
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium;s__Curtobacterium sp. Arg-1	0	0	17	8	0	0	25	68	13	14
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas sp. WB94	0	0	2	3	5	0	1	1	6	5
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. G7(2002)	0	0	13	3	0	4	22	80	20	42
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. PLM4	0	0	11	0	0	0	0	12	0	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. WAC00288	0	0	6	0	8	9	16	40	3	10
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. A144	0	0	9	3	2	3	27	69	9	17
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. NA03103	0	0	21	15	17	22	27	87	18	21
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. CC0208	0	0	20	0	8	0	30	61	20	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. BI87	0	0	12	0	5	0	0	0	0	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. ID38640	0	0	8	0	13	0	4	40	2	5
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. RLB3-6	0	0	54	25	29	0	0	25	0	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. GBA 94-10 4N24	0	0	18	0	0	0	0	0	0	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. GF20	0	0	2	3	2	4	11	27	4	9
